Category,Subcategory,Place,Address
Seminar Rooms,HSS,8,"Seminar Room 8 - HSS, School of Humanities / School of Social Sciences, HSS-01-09, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,HSS,9,"Seminar Room 9 - HSS, School of Humanities / School of Social Sciences, HSS-B1-11, 48 Nanyang Avenue, Singapore 639818"
Seminar Rooms,N2,1,"Seminar Room 1 - N2, Block N2, N2-B4C-08"
Seminar Rooms,N2,2,"Seminar Room 2 - N2, Block N2, N2-B4C-07"
Seminar Rooms,NBS-S3,CR1,"Conference Room 1 (NBS), Block S3, S3-B4A-02"
Seminar Rooms,NBS-S3,CR2,"Conference Room 2 (NBS), Block S3, S3-B4A-03"
Seminar Rooms,NBS-S3,1,"Seminar Room 1 at NBS-S3, Block S3, S3-B3B-36"
Seminar Rooms,NBS-S3,2,"Seminar Room 2 at NBS-S3, Block S3, S3-B3B-37"
Seminar Rooms,NBS-S3,3,"Seminar Room 3 at NBS-S3, Block S3, S3-B3B-38"
Seminar Rooms,NBS-S3,4,"Seminar Room 4 at NBS-S3, Block S3, S3-B3B-40"
Seminar Rooms,NBS-S3,5,"Seminar Room 5 at NBS-S3, Block S3, S3-B3B-41"
Seminar Rooms,NBS-S3,6,"Seminar Room 6 at NBS-S3, Block S3, S3-B3B-42"
Seminar Rooms,NBS-S3,7,"Seminar Room 7 at NBS-S3, Block S3, S3-B4C-08"
Seminar Rooms,NBS-S3,8,"Seminar Room 8 at NBS-S3, Block S3, S3-B4C-09"
Seminar Rooms,NBS-S3,9,"Seminar Room 9 at NBS-S3, Block S3, S3-B4C-10"
Seminar Rooms,NBS-S3,10,"Seminar Room 10 at NBS-S3, Block S3, S3-B4C-11"
Seminar Rooms,NBS-S3.1,1,"S3.1 Executive Seminar Room 1, Block S3.1, S3.1-B1-01"
Seminar Rooms,NBS-S3.1,2,"S3.1 Executive Seminar Room 2, Block S3.1, S3.1-B1-02/03"
Seminar Rooms,NBS-S3.1,3,"S3.1 Executive Seminar Room 3, Block S3.1, S3.1-B1-04/05"
Seminar Rooms,NBS-S3.1,4,"S3.1 Executive Seminar Room 4, Block S3.1, S3.1-B1-06"
Seminar Rooms,NBS-S3.1,5,"S3.1 Executive Seminar Room 5, Block S3.1, S3.1-B1-07"
Seminar Rooms,NBS-S3.1,6,"S3.1 Executive Seminar Room 6, Block S3.1, S3.1-B1-08"
Seminar Rooms,NBS-S3.1,7,"S3.1 Executive Seminar Room 7, Block S3.1, S3.1-B1-11"
Seminar Rooms,NBS-S3.1,8,"S3.1 Executive Seminar Room 8, Block S3.1, S3.1-B2-07"
Seminar Rooms,NBS-S3.1,9,"S3.1 Executive Seminar Room 9, Block S3.1, S3.1-B2-08/09"
Seminar Rooms,NBS-S3.1,10,"S3.1 Executive Seminar Room 10, Block S3.1, S3.1-B2-10/11"
Seminar Rooms,NBS-S3.1,11,"S3.1 Executive Seminar Room 11, Block S3.1, S3.1-B1-09/10"
Seminar Rooms,S3.2,1,"Seminar Room 1 - S3.2, Block S3.2, S3.2-B3-SR1"
Seminar Rooms,S3.2,2,"Seminar Room 2 - S3.2, Block S3.2, S3.2-B3-SR2"
Seminar Rooms,S3.2,3,"Seminar Room 3 - S3.2, Block S3.2, S3.2-B3-SR3"
Seminar Rooms,S3.2,4,"Seminar Room 4 - S3.2, Block S3.2, S3.2-B3-SR4"
Seminar Rooms,S3.2,5,"Seminar Room 5 - S3.2, Block S3.2, S3.2-B3-SR5"
Seminar Rooms,S3.2,6,"Seminar Room 6 - S3.2, Block S3.2, S3.2-B3-SR6"
Seminar Rooms,S3.2,ESR1,"S3.2 Executive Seminar Room 1, Block S3.2, S3.2-B3-ESR1"
Seminar Rooms,S3.2,ESR2,"S3.2 Executive Seminar Room 2, Block S3.2, S3.2-B3-ESR2"
Seminar Rooms,S3.2,ESR3,"S3.2 Executive Seminar Room 3, Block S3.2, S3.2-B3-ESR3"
Seminar Rooms,S3.2,ESR4,"S3.2 Executive Seminar Room 4, Block S3.2, S3.2-B3-ESR4"
Seminar Rooms,NBS-S4,1,"Seminar Room 1 at NBS-S4, Block S4, S4-B2A-01"
Seminar Rooms,NBS-S4,2,"Seminar Room 2 at NBS-S4, Block S4, S4-B2A-02"
Seminar Rooms,NBS-S4,3,"Seminar Room 3 at NBS-S4, Block S4, S4-B2A-06"
Seminar Rooms,NBS-S4,4,"Seminar Room 4 at NBS-S4, Block S4, S4-B2A-07"
Seminar Rooms,NBS-S4,5,"Seminar Room 5 at NBS-S4, Block S4, S4-B2A-10"
Seminar Rooms,NBS-S4,6,"Seminar Room 6 at NBS-S4, Block S4, S4-B2A-11"
Seminar Rooms,NBS-S4,7,"Seminar Room 7 at NBS-S4, Block S4, S4-B2A-13"
Seminar Rooms,NBS-S4,8,"Seminar Room 8 at NBS-S4, Block S4, S4-B2A-14"
Seminar Rooms,NBS-S4,9,"Seminar Room 9 at NBS-S4, Block S4, S4-B2B-20"
Seminar Rooms,NBS-S4,10,"Seminar Room 10 at NBS-S4, Block S4, S4-B2B-21"
Seminar Rooms,NBS-S4,11,"Seminar Room 11 at NBS-S4, Block S4, S4-B2B-24"
Seminar Rooms,NBS-S4,12,"Seminar Room 12 at NBS-S4, Block S4, S4-B2B-25"
Seminar Rooms,NBS-S4,13,"Seminar Room 13 at NBS-S4, Block S4, S4-B2B-28"
Seminar Rooms,NBS-S4,14,"Seminar Room 14 at NBS-S4, Block S4, S4-B2B-30"
Seminar Rooms,NBS-S4,15,"Seminar Room 15 at NBS-S4, Block S4, S4-B2B-31"
Seminar Rooms,NBS-S4,16,"Seminar Room 16 at NBS-S4, Block S4, S4-B2B-32"
Seminar Rooms,NBS-S4,17,"Seminar Room 17 at NBS-S4, Block S4, S4-B2C-42"
Seminar Rooms,NBS-S4,18,"Seminar Room 18 at NBS-S4, Block S4, S4-B2C-43"
Seminar Rooms,NBS-S4,19,"Seminar Room 19 at NBS-S4, Block S4, S4-B2C-49"
Seminar Rooms,NBS-S4,20,"Seminar Room 20 at NBS-S4, Block S4, S4-B2C-50"
Seminar Rooms,NBS-S4,21,"Seminar Room 21 at NBS-S4, Block S4, S4-B1A-11"
Seminar Rooms,NBS-S4,22,"Seminar Room 22 at NBS-S4, Block S4, S4-B1A-12"
Seminar Rooms,NBS-S4,23,"Seminar Room 23 at NBS-S4, Block S4, S4-B1A-06"
Seminar Rooms,NBS-S4,24,"Seminar Room 24 at NBS-S4, Block S4, S4-B1A-08"
Seminar Rooms,Others,Centre for Transportation Studies (CTS) Seminar Room,"Centre for Transportation Studies (CTS) Seminar Room, Block N1, N1-B1C-26"
Tutorial Rooms,102-121,102,"Tutorial Room 102, Block SS1, SS1-01-02"
Tutorial Rooms,102-121,103,"Tutorial Room 103, Block SS1, SS1-01-01"
Tutorial Rooms,102-121,120,"Tutorial Room 120, Block SS4, SS4-01-26"
Tutorial Rooms,102-121,121,"Tutorial Room 121, Block SS4, SS4-01-25"
Tutorial Rooms,SBS,1,"Tutorial Room 1 - SBS, School of Biological Sciences (SBS), SBS-01N-33, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,SBS,2,"Tutorial Room 2 - SBS, School of Biological Sciences (SBS), SBS-01N-22, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,SBS,3,"Tutorial Room 3 - SBS, School of Biological Sciences (SBS), SBS-01N-23, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,SBS,4,"Tutorial Room 4 - SBS, School of Biological Sciences (SBS), SBS-01N-24, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,SBS,7,"Tutorial Room 7 - SBS, School of Biological Sciences (SBS), SAC-B1N-01, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,SBS,8,"Tutorial Room 8 - SBS, School of Biological Sciences (SBS), SAC-B1N-02, 60 Nanyang Drive, Singapore 637551"
Tutorial Rooms,NIE2,201,"Tutorial Room 201 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR201"
Tutorial Rooms,NIE2,202,"Tutorial Room 202 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-TR202"
